warning: field `frame_id` is never read
   --> src/naive.rs:220:9
    |
219 | struct LayoutFrame {
    |        ----------- field in this struct
220 |     pub frame_id: usize,
    |         ^^^^^^^^
    |
    = note: `LayoutFrame` has derived impls for the traits `Clone` and `Debug`, but these are intentionally ignored during dead code analysis
    = note: `#[warn(dead_code)]` on by default

warning: `css-bitvector-compiler` (bin "naive") generated 1 warning
    Finished `release` profile [optimized + debuginfo] target(s) in 0.11s
     Running `target/release/naive`
NOT_CONSIDERED[naive] 429 selector(s)
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-badge-data-sheet-label-container__2iEi2
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-badge-data-sheet-label__3b6X3
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-badge-rating-2021__2Q_3P
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-badge-rating-sign__1ronK
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-badge-rating__3_0eN
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-badge-shape__1IcJY
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-badge-standard__28gp8
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_energy-efficiency_energy-efficiency-container__1Pkva
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_image_asin-container-white-box__QwmgO
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_image_asin-container__2jyCM
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_image_round-corners__2y_fS
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_ad-feedback-loading-spinnner-rtl__2BoOY
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_ad-feedback-loading-spinnner__1nmZw
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_ad-feedback-primary-link__2bIZi
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_ad-feedback-sprite-mobile__2_rj8
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_ad-feedback-sprite__28uwB
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_ad-feedback-text-desktop__q3xp_
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_ad-feedback-text__2HjQ9
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_apexBadgeLabel__2-Vye
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_apexBadgeMessage__1tHvd
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-button-group__1LqUG
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-button__7cH_E
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-ratio-1236x1080__3aEzl
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-ratio-15x3__1h649
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-ratio-16x9__cBPv8
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-ratio-4x3__3BewI
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-ratio-5x8__2IaNz
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-ratio-dynamic-60vh__3N5g_
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-ratio-fill__2Zjfb
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_aspect-text__S4PU1
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_autoplay-span__2CMfc
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_badge-container__20aJ2
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_badgeLabel__pJ5rc
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_badgeMessage__2Dtw7
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_carouselContainer__3N7M1
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_close-icon-wrapper__1zvdC
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_close-icon__2RJs3
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_close-text__2-gwn
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_cta-link__2xo74
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_desktop-close-button__1iL_P
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_displayCount__1MVut
NOT_CONSIDERED[naive] ._ameyal-product-shoveler_style_empty-footer__2d59h
